consumidor_id	estrategia	converteu
3	estrategia_b	1
5	estrategia_b	0
6	estrategia_b	1
7	estrategia_a	1
8	estrategia_b	0
10	estrategia_b	0
11	estrategia_a	1
14	estrategia_b	1
19	estrategia_b	0
21	estrategia_b	1
25	estrategia_a	0
27	estrategia_a	0
28	estrategia_b	0
29	estrategia_b	0
30	estrategia_b	0
31	estrategia_a	0
32	estrategia_a	1
33	estrategia_a	0
34	estrategia_b	0
38	estrategia_b	1
40	estrategia_b	1
42	estrategia_a	0
44	estrategia_a	0
45	estrategia_a	0
52	estrategia_a	0
53	estrategia_a	1
54	estrategia_a	0
55	estrategia_b	1
57	estrategia_a	0
61	estrategia_b	1
62	estrategia_b	0
68	estrategia_a	1
70	estrategia_a	1
72	estrategia_a	0
73	estrategia_a	0
81	estrategia_a	0
89	estrategia_b	1
90	estrategia_b	1
91	estrategia_a	0
93	estrategia_b	0
94	estrategia_b	0
95	estrategia_a	0
96	estrategia_a	1
99	estrategia_a	1
100	estrategia_a	1
101	estrategia_b	1
105	estrategia_a	1
106	estrategia_b	0
108	estrategia_b	0
110	estrategia_a	0
111	estrategia_b	0
114	estrategia_b	0
117	estrategia_a	1
125	estrategia_b	0
128	estrategia_a	0
132	estrategia_b	1
133	estrategia_b	1
135	estrategia_b	0
137	estrategia_a	1
142	estrategia_b	1
144	estrategia_b	0
145	estrategia_b	1
146	estrategia_b	0
153	estrategia_a	1
157	estrategia_a	0
160	estrategia_a	0
163	estrategia_b	1
166	estrategia_b	1
169	estrategia_b	0
172	estrategia_b	0
174	estrategia_b	0
177	estrategia_a	0
179	estrategia_b	1
187	estrategia_a	0
194	estrategia_a	0
196	estrategia_a	0
197	estrategia_b	0
198	estrategia_a	1
199	estrategia_a	1
201	estrategia_a	0
202	estrategia_b	1
203	estrategia_b	0
204	estrategia_a	0
205	estrategia_a	1
213	estrategia_b	0
216	estrategia_a	0
218	estrategia_b	1
221	estrategia_b	1
223	estrategia_b	0
226	estrategia_b	1
227	estrategia_b	0
231	estrategia_a	1
232	estrategia_b	1
233	estrategia_a	0
234	estrategia_b	0
237	estrategia_a	0
238	estrategia_a	0
239	estrategia_a	0
243	estrategia_a	0
245	estrategia_b	1
249	estrategia_a	0
252	estrategia_a	0
259	estrategia_b	1
260	estrategia_b	1
263	estrategia_a	0
266	estrategia_b	1
268	estrategia_b	1
274	estrategia_a	0
276	estrategia_a	0
277	estrategia_b	1
278	estrategia_b	0
281	estrategia_a	0
285	estrategia_a	0
291	estrategia_a	1
292	estrategia_a	1
296	estrategia_b	0
298	estrategia_b	1
301	estrategia_b	1
304	estrategia_a	1
307	estrategia_a	1
312	estrategia_a	0
318	estrategia_b	1
320	estrategia_a	1
321	estrategia_a	0
322	estrategia_b	0
323	estrategia_a	0
324	estrategia_a	1
325	estrategia_a	0
326	estrategia_a	1
330	estrategia_a	1
334	estrategia_a	0
335	estrategia_a	0
341	estrategia_b	1
343	estrategia_a	1
344	estrategia_b	0
345	estrategia_b	0
353	estrategia_b	1
354	estrategia_b	0
357	estrategia_b	1
358	estrategia_b	0
360	estrategia_a	0
361	estrategia_b	0
363	estrategia_a	0
366	estrategia_a	0
367	estrategia_b	1
375	estrategia_b	0
378	estrategia_a	0
380	estrategia_a	1
381	estrategia_b	0
384	estrategia_a	0
387	estrategia_a	1
388	estrategia_b	1
391	estrategia_a	0
393	estrategia_b	0
394	estrategia_a	1
396	estrategia_a	1
397	estrategia_b	1
401	estrategia_b	1
402	estrategia_b	0
404	estrategia_b	1
407	estrategia_a	1
408	estrategia_a	0
412	estrategia_a	0
416	estrategia_a	0
417	estrategia_a	0
422	estrategia_a	0
423	estrategia_a	0
424	estrategia_b	0
425	estrategia_b	1
431	estrategia_a	0
437	estrategia_a	0
439	estrategia_b	1
440	estrategia_b	1
443	estrategia_b	0
445	estrategia_a	1
448	estrategia_b	0
449	estrategia_b	1
456	estrategia_a	0
459	estrategia_b	1
461	estrategia_a	0
463	estrategia_a	0
465	estrategia_a	0
469	estrategia_b	0
470	estrategia_a	0
471	estrategia_a	1
473	estrategia_a	0
476	estrategia_a	0
480	estrategia_b	0
482	estrategia_b	1
484	estrategia_a	1
486	estrategia_b	1
488	estrategia_a	1
490	estrategia_b	0
492	estrategia_a	0
495	estrategia_a	1
497	estrategia_a	0
498	estrategia_a	0
499	estrategia_b	0
501	estrategia_b	0
505	estrategia_b	0
509	estrategia_b	1
511	estrategia_b	1
517	estrategia_b	1
520	estrategia_b	0
522	estrategia_a	0
523	estrategia_a	0
525	estrategia_a	0
526	estrategia_a	1
530	estrategia_b	0
532	estrategia_b	0
534	estrategia_a	1
538	estrategia_b	0
542	estrategia_a	0
543	estrategia_a	1
544	estrategia_b	0
547	estrategia_b	0
548	estrategia_a	1
552	estrategia_a	0
553	estrategia_b	1
558	estrategia_a	1
559	estrategia_b	0
560	estrategia_a	1
561	estrategia_a	1
566	estrategia_b	0
567	estrategia_b	0
568	estrategia_b	1
570	estrategia_b	1
578	estrategia_b	0
581	estrategia_a	1
582	estrategia_a	0
583	estrategia_b	0
586	estrategia_a	0
590	estrategia_a	0
592	estrategia_a	0
593	estrategia_a	1
594	estrategia_a	1
595	estrategia_a	1
601	estrategia_b	1
604	estrategia_a	1
606	estrategia_b	0
607	estrategia_a	0
608	estrategia_a	0
611	estrategia_a	0
614	estrategia_b	1
616	estrategia_a	1
622	estrategia_b	1
623	estrategia_b	1
624	estrategia_b	1
628	estrategia_a	0
631	estrategia_a	0
632	estrategia_a	0
633	estrategia_a	0
634	estrategia_b	1
635	estrategia_a	0
638	estrategia_a	0
642	estrategia_a	0
652	estrategia_a	1
653	estrategia_a	0
658	estrategia_b	0
661	estrategia_a	0
663	estrategia_b	0
665	estrategia_a	0
670	estrategia_a	0
671	estrategia_a	0
672	estrategia_b	0
674	estrategia_b	0
682	estrategia_b	1
683	estrategia_b	0
684	estrategia_a	0
686	estrategia_b	1
695	estrategia_a	0
696	estrategia_b	1
700	estrategia_b	0
702	estrategia_a	0
712	estrategia_b	1
714	estrategia_a	0
716	estrategia_b	1
723	estrategia_a	1
725	estrategia_a	0
726	estrategia_b	1
727	estrategia_b	0
729	estrategia_a	1
734	estrategia_b	1
735	estrategia_a	0
739	estrategia_a	0
740	estrategia_a	1
742	estrategia_b	1
